Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Appointment,Chrome 120.0.0.0,,,19-01-2024 10:32:40,19-01-2024 10:33:37,57.366s,FAILED
,,,,,,,
Test Cases/Test Case Web Testing/Login,Chrome 120.0.0.0,,,19-01-2024 10:32:40,19-01-2024 10:32:55,15.122s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,19-01-2024 10:32:41,19-01-2024 10:32:45,4.271s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,19-01-2024 10:32:45,19-01-2024 10:32:50,4.722s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,19-01-2024 10:32:50,19-01-2024 10:32:51,0.966s,PASSED
"setText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,19-01-2024 10:32:51,19-01-2024 10:32:52,1.065s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,19-01-2024 10:32:52,19-01-2024 10:32:52,0.433s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,19-01-2024 10:32:52,19-01-2024 10:32:53,1.315s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 120.0.0.0,,,19-01-2024 10:32:53,19-01-2024 10:32:54,0.599s,PASSED
"rightClick(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 120.0.0.0,,,19-01-2024 10:32:54,19-01-2024 10:32:55,0.658s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 120.0.0.0,,,19-01-2024 10:32:55,19-01-2024 10:32:55,0.478s,PASSED
,,,,,,,
Test Cases/Test Case Web Testing/AppointmentConfirmation,Chrome 120.0.0.0,,,19-01-2024 10:33:37,19-01-2024 10:33:37,0.092s,FAILED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,19-01-2024 10:33:37,19-01-2024 10:33:37,0.071s,FAILED
