Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Appointment,Chrome 120.0.0.0,,,18-01-2024 11:43:16,18-01-2024 11:43:40,24.312s,PASSED
,,,,,,,
Test Cases/Test Case Web Testing/Login,Chrome 120.0.0.0,,,18-01-2024 11:43:16,18-01-2024 11:43:27,11.074s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,18-01-2024 11:43:17,18-01-2024 11:43:19,2.435s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,18-01-2024 11:43:19,18-01-2024 11:43:22,2.967s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,18-01-2024 11:43:22,18-01-2024 11:43:23,0.888s,PASSED
"setText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,18-01-2024 11:43:23,18-01-2024 11:43:24,0.872s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,18-01-2024 11:43:24,18-01-2024 11:43:24,0.453s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,18-01-2024 11:43:24,18-01-2024 11:43:26,1.465s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 120.0.0.0,,,18-01-2024 11:43:26,18-01-2024 11:43:26,0.475s,PASSED
"rightClick(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 120.0.0.0,,,18-01-2024 11:43:26,18-01-2024 11:43:27,0.562s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 120.0.0.0,,,18-01-2024 11:43:27,18-01-2024 11:43:27,0.346s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,18-01-2024 11:43:27,18-01-2024 11:43:27,0.264s,PASSED
,,,,,,,
Test Cases/Test Case Web Testing/AppointmentConfirmation,Chrome 120.0.0.0,,,18-01-2024 11:43:27,18-01-2024 11:43:40,12.959s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,18-01-2024 11:43:28,18-01-2024 11:43:28,0.873s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,18-01-2024 11:43:28,18-01-2024 11:43:32,3.663s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,18-01-2024 11:43:32,18-01-2024 11:43:33,1.215s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,18-01-2024 11:43:33,18-01-2024 11:43:34,0.781s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,18-01-2024 11:43:34,18-01-2024 11:43:35,0.425s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,18-01-2024 11:43:35,18-01-2024 11:43:36,1.183s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,18-01-2024 11:43:36,18-01-2024 11:43:37,1.179s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 120.0.0.0,,,18-01-2024 11:43:37,18-01-2024 11:43:37,0.351s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_programs""))",Chrome 120.0.0.0,,,18-01-2024 11:43:37,18-01-2024 11:43:38,0.375s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 120.0.0.0,,,18-01-2024 11:43:38,18-01-2024 11:43:38,0.356s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_20""))",Chrome 120.0.0.0,,,18-01-2024 11:43:38,18-01-2024 11:43:38,0.481s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_comment""), ""Testing"")",Chrome 120.0.0.0,,,18-01-2024 11:43:38,18-01-2024 11:43:39,0.822s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,18-01-2024 11:43:39,18-01-2024 11:43:40,0.909s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,18-01-2024 11:43:40,18-01-2024 11:43:40,0.207s,PASSED
