Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Appointment,Chrome 120.0.0.0,,,19-01-2024 10:35:18,19-01-2024 10:35:36,17.862s,PASSED
,,,,,,,
Test Cases/Test Case Web Testing/Login,Chrome 120.0.0.0,,,19-01-2024 10:35:18,19-01-2024 10:35:30,12.057s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,19-01-2024 10:35:19,19-01-2024 10:35:21,2.522s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,19-01-2024 10:35:21,19-01-2024 10:35:25,4.154s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,19-01-2024 10:35:25,19-01-2024 10:35:26,0.968s,PASSED
"setText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,19-01-2024 10:35:26,19-01-2024 10:35:27,1.008s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,19-01-2024 10:35:27,19-01-2024 10:35:28,0.457s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,19-01-2024 10:35:28,19-01-2024 10:35:29,1.135s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 120.0.0.0,,,19-01-2024 10:35:29,19-01-2024 10:35:29,0.523s,PASSED
"rightClick(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 120.0.0.0,,,19-01-2024 10:35:29,19-01-2024 10:35:30,0.485s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 120.0.0.0,,,19-01-2024 10:35:30,19-01-2024 10:35:30,0.444s,PASSED
,,,,,,,
Test Cases/Test Case Web Testing/AppointmentConfirmation,Chrome 120.0.0.0,,,19-01-2024 10:35:30,19-01-2024 10:35:36,5.535s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,19-01-2024 10:35:30,19-01-2024 10:35:32,1.273s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 120.0.0.0,,,19-01-2024 10:35:32,19-01-2024 10:35:32,0.509s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_programs""))",Chrome 120.0.0.0,,,19-01-2024 10:35:32,19-01-2024 10:35:33,0.480s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 120.0.0.0,,,19-01-2024 10:35:33,19-01-2024 10:35:33,0.459s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_20""))",Chrome 120.0.0.0,,,19-01-2024 10:35:33,19-01-2024 10:35:34,0.591s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_comment""), ""Testing"")",Chrome 120.0.0.0,,,19-01-2024 10:35:34,19-01-2024 10:35:35,0.916s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,19-01-2024 10:35:35,19-01-2024 10:35:36,0.950s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,19-01-2024 10:35:36,19-01-2024 10:35:36,0.249s,PASSED
