Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Appointment,Chrome 120.0.0.0,,,19-01-2024 14:13:32,19-01-2024 14:14:43,1m - 11.431s,PASSED
,,,,,,,
Test Cases/Test Case Web Testing/Login,Chrome 120.0.0.0,,,19-01-2024 14:13:32,19-01-2024 14:13:55,22.920s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,19-01-2024 14:13:32,19-01-2024 14:13:35,2.900s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,19-01-2024 14:13:35,19-01-2024 14:13:47,12.026s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,19-01-2024 14:13:47,19-01-2024 14:13:50,2.842s,PASSED
"setText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,19-01-2024 14:13:50,19-01-2024 14:13:51,0.899s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,19-01-2024 14:13:51,19-01-2024 14:13:51,0.445s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,19-01-2024 14:13:51,19-01-2024 14:13:54,2.915s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 120.0.0.0,,,19-01-2024 14:13:54,19-01-2024 14:13:55,0.541s,PASSED
,,,,,,,
Test Cases/Test Case Web Testing/AppointmentConfirmation,Chrome 120.0.0.0,,,19-01-2024 14:13:55,19-01-2024 14:14:43,48.249s,PASSED
"callTestCase(findTestCase(""Test Case Web Testing/Login""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,19-01-2024 14:13:55,19-01-2024 14:14:05,10.338s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,19-01-2024 14:14:05,19-01-2024 14:14:06,1.208s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 120.0.0.0,,,19-01-2024 14:14:06,19-01-2024 14:14:07,0.379s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_programs""))",Chrome 120.0.0.0,,,19-01-2024 14:14:07,19-01-2024 14:14:07,0.408s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 120.0.0.0,,,19-01-2024 14:14:07,19-01-2024 14:14:08,0.431s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_20""))",Chrome 120.0.0.0,,,19-01-2024 14:14:08,19-01-2024 14:14:39,31.663s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_comment""), ""Testing"")",Chrome 120.0.0.0,,,19-01-2024 14:14:39,19-01-2024 14:14:40,0.831s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,19-01-2024 14:14:40,19-01-2024 14:14:43,2.599s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,19-01-2024 14:14:43,19-01-2024 14:14:43,0.257s,PASSED
