Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Appointment,Chrome 120.0.0.0,,,19-01-2024 21:08:18,19-01-2024 21:12:07,3m - 49.013s,PASSED
,,,,,,,
Test Cases/Test Case Web Testing/Login,Chrome 120.0.0.0,,,19-01-2024 21:08:18,19-01-2024 21:09:06,48.041s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,19-01-2024 21:08:19,19-01-2024 21:08:24,4.666s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,19-01-2024 21:08:24,19-01-2024 21:09:03,38.988s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,19-01-2024 21:09:03,19-01-2024 21:09:04,1.592s,PASSED
"setText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,19-01-2024 21:09:04,19-01-2024 21:09:05,0.546s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,19-01-2024 21:09:05,19-01-2024 21:09:05,0.389s,PASSED
"click(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,19-01-2024 21:09:05,19-01-2024 21:09:06,1.093s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web Testing/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 120.0.0.0,,,19-01-2024 21:09:06,19-01-2024 21:09:06,0.202s,PASSED
,,,,,,,
Test Cases/Test Case Web Testing/AppointmentConfirmation,Chrome 120.0.0.0,,,19-01-2024 21:09:06,19-01-2024 21:12:07,3m - 0.285s,PASSED
"callTestCase(findTestCase(""Test Case Web Testing/Login""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,19-01-2024 21:09:07,19-01-2024 21:12:04,2m - 57.279s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,19-01-2024 21:12:04,19-01-2024 21:12:05,0.591s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 120.0.0.0,,,19-01-2024 21:12:05,19-01-2024 21:12:05,0.208s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_programs""))",Chrome 120.0.0.0,,,19-01-2024 21:12:05,19-01-2024 21:12:05,0.196s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 120.0.0.0,,,19-01-2024 21:12:05,19-01-2024 21:12:05,0.215s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_20""))",Chrome 120.0.0.0,,,19-01-2024 21:12:05,19-01-2024 21:12:05,0.204s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_comment""), ""Testing"")",Chrome 120.0.0.0,,,19-01-2024 21:12:05,19-01-2024 21:12:06,0.317s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,19-01-2024 21:12:06,19-01-2024 21:12:06,0.753s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,19-01-2024 21:12:06,19-01-2024 21:12:07,0.250s,PASSED
